순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	이병규	LG	1.000	1	1	1	0	1	0	0	0	1	0	0	0
1	조윤준	LG	1.000	2	1	1	1	1	0	0	0	1	0	0	0
3	박용택	LG	0.346	138	578	509	84	176	24	0	11	233	90	0	7
4	백창수	LG	0.333	10	21	18	4	6	2	0	1	11	3	0	0
5	손주인	LG	0.322	122	409	354	47	114	20	3	2	146	39	12	4
6	정성훈	LG	0.322	126	418	370	58	119	22	1	6	161	64	5	5
7	김용의	LG	0.318	105	347	308	62	98	18	4	1	127	20	4	0
8	채은성	LG	0.313	128	451	403	64	126	20	3	9	179	81	2	8
9	히메네스	LG	0.308	135	579	523	101	161	36	0	26	275	102	1	6
10	이천웅	LG	0.293	103	320	276	38	81	10	1	6	111	41	6	1
11	문선재	LG	0.288	52	127	111	28	32	3	2	7	60	16	5	1
12	이형종	LG	0.282	61	147	124	14	35	4	2	1	46	14	5	1
13	오지환	LG	0.280	121	472	393	73	110	14	5	20	194	78	2	5
14	양석환	LG	0.276	80	215	203	24	56	10	1	6	86	37	3	2
15	이병규	LG	0.272	103	350	290	43	79	12	2	7	116	37	0	3
16	안익훈	LG	0.267	68	52	45	13	12	0	1	0	14	4	1	0
17	유강남	LG	0.266	100	297	263	28	70	7	0	8	101	47	4	6
18	임훈	LG	0.261	60	198	180	20	47	4	0	1	54	14	4	0
19	박재욱	LG	0.255	26	50	47	5	12	2	0	0	14	4	1	0
20	서상우	LG	0.252	56	137	111	18	28	5	0	4	45	12	0	0
21	정주현	LG	0.222	99	257	225	30	50	12	1	1	67	22	2	2
22	윤진호	LG	0.190	34	23	21	3	4	0	0	0	4	0	2	0
23	강승호	LG	0.184	18	41	38	4	7	3	0	0	10	3	0	1
24	정상호	LG	0.182	77	159	132	12	24	5	0	1	32	10	4	2
25	황목치승	LG	0.179	48	39	39	7	7	3	0	0	10	4	0	0
26	최경철	LG	0.156	29	52	45	3	7	2	0	0	9	2	2	0
27	장준원	LG	0.077	14	15	13	2	1	0	0	0	1	0	0	0
28	김대현	LG	-	1	0	0	0	0	0	0	0	0	0	0	0
28	김지성	LG	0.000	2	3	3	0	0	0	0	0	0	0	0	0
28	박성준	LG	0.000	1	1	1	0	0	0	0	0	0	0	0	0
