순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	유한준	KT	0.336	110	460	408	70	137	22	0	14	201	64	0	3
2	이진영	KT	0.332	115	424	371	49	123	23	1	10	178	72	0	5
3	이대형	KT	0.320	143	654	600	89	192	14	3	1	215	42	7	1
4	박경수	KT	0.313	121	476	402	64	126	22	1	20	210	80	0	4
5	전민수	KT	0.305	74	240	213	31	65	14	1	3	90	29	4	0
6	오정복	KT	0.304	96	344	306	45	93	11	2	5	123	36	6	4
7	신현철	KT	0.292	35	25	24	3	7	2	0	0	9	2	0	0
8	유민상	KT	0.282	95	254	213	30	60	12	1	4	86	37	3	4
9	박기혁	KT	0.273	117	348	308	36	84	13	0	2	103	34	10	2
10	마르테	KT	0.265	91	381	325	52	86	16	0	22	168	74	0	5
11	배병옥	KT	0.260	65	55	50	10	13	1	0	0	14	3	1	0
12	김사연	KT	0.250	20	63	56	6	14	1	0	0	15	4	0	0
13	김종민	KT	0.244	78	217	180	17	44	3	0	0	47	20	10	3
14	심우준	KT	0.242	122	251	236	36	57	9	1	3	77	17	5	2
15	윤요섭	KT	0.238	66	149	126	14	30	6	0	6	54	16	0	0
16	박용근	KT	0.230	31	86	74	5	17	4	1	1	26	6	0	1
17	김상현	KT	0.225	62	246	222	29	50	5	0	11	88	32	0	2
18	김선민	KT	0.220	32	63	50	7	11	0	0	0	11	2	2	0
19	하준호	KT	0.219	94	217	187	26	41	5	0	3	55	15	4	1
20	김연훈	KT	0.217	103	181	166	13	36	10	0	1	49	18	5	3
21	남태혁	KT	0.205	16	48	44	2	9	3	0	0	12	2	0	1
22	이해창	KT	0.203	88	254	231	16	47	10	0	6	75	22	8	3
23	문상철	KT	0.200	48	87	80	9	16	7	0	1	26	7	0	1
24	김영환	KT	0.167	12	12	12	2	2	0	0	0	2	0	0	0
25	김동명	KT	0.135	21	41	37	3	5	0	0	3	14	5	0	0
26	김진곤	KT	0.125	13	8	8	1	1	0	0	0	1	0	0	0
27	김민혁	KT	0.103	26	31	29	3	3	1	0	0	4	0	0	0
28	김만수	KT	0.000	1	1	1	0	0	0	0	0	0	0	0	0
28	김사율	KT	-	1	0	0	0	0	0	0	0	0	0	0	0
28	김재윤	KT	-	3	0	0	0	0	0	0	0	0	0	0	0
