순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	최원준	KIA	0.458	14	25	24	5	11	1	0	1	15	4	1	0
2	황대인	KIA	0.429	4	7	7	1	3	2	0	1	8	3	0	0
3	김선빈	KIA	0.360	6	27	25	3	9	2	1	0	13	0	1	0
4	김주찬	KIA	0.346	130	555	511	97	177	37	3	23	289	101	1	6
5	필	KIA	0.313	132	544	499	71	156	37	1	20	255	86	0	7
6	이범호	KIA	0.310	138	560	484	93	150	23	0	33	272	108	0	7
7	신종길	KIA	0.310	75	240	213	34	66	8	3	1	83	12	1	0
8	노수광	KIA	0.309	77	238	207	43	64	4	2	4	84	30	10	0
9	나지완	KIA	0.308	118	486	380	84	117	21	2	25	217	90	0	4
10	김다원	KIA	0.302	25	47	43	3	13	2	0	1	18	6	0	0
11	윤정우	KIA	0.299	46	82	67	20	20	5	0	2	31	13	2	1
12	서동욱	KIA	0.292	124	485	411	73	120	30	3	16	204	67	6	3
13	김주형	KIA	0.281	135	387	345	43	97	16	1	19	172	49	1	1
14	강한울	KIA	0.272	104	322	298	36	81	13	3	0	100	27	9	0
15	김호령	KIA	0.267	124	514	453	72	121	18	3	8	169	41	13	2
16	이홍구	KIA	0.266	106	273	241	27	64	16	2	9	111	45	3	6
17	오준혁	KIA	0.265	47	144	132	18	35	8	4	2	57	15	2	0
18	안치홍	KIA	0.222	10	43	36	3	8	2	0	0	10	1	1	1
19	김원섭	KIA	0.219	37	90	73	10	16	5	0	0	21	12	1	1
20	고영우	KIA	0.214	63	81	70	18	15	3	0	0	18	4	1	0
21	이성우	KIA	0.211	55	89	76	9	16	1	0	0	17	6	4	1
22	백용환	KIA	0.195	80	199	174	12	34	7	0	4	53	15	3	2
23	김민우	KIA	0.195	19	47	41	3	8	1	0	0	9	4	1	0
24	한승택	KIA	0.179	27	30	28	1	5	0	0	0	5	5	1	0
25	박찬호	KIA	0.167	69	46	42	9	7	0	0	0	7	3	1	0
25	윤완주	KIA	0.167	34	34	30	5	5	0	0	1	8	2	1	1
27	이호신	KIA	0.154	51	43	39	1	6	2	0	0	8	2	1	1
28	이진영	KIA	0.138	17	33	29	4	4	0	0	0	4	2	1	0
29	홍재호	KIA	0.077	22	16	13	4	1	0	0	0	1	1	0	1
30	김광수	KIA	-	1	0	0	0	0	0	0	0	0	0	0	0
